id,case_num,Q1,Q2,Q3,Q1_C,Q2_C,Q3_C,level,class,type,set
A,1,4,4,5,2,2,2,GP,doctor,text,1
A,2,5,5,3,2,2,2,GP,doctor,text,1
A,3,3,4,2,1,2,1,GP,doctor,text,1
A,4,3,3,4,2,2,1,GP,doctor,text,1
A,5,2,2,2,1,1,1,GP,doctor,text,1
A,6,4,3,4,2,2,2,GP,doctor,text,1
A,7,5,2,4,2,1,2,GP,doctor,text,1
E,1,3,5,4,2,2,1,R3,doctor,text,1
E,2,5,5,5,2,2,2,R3,doctor,text,1
E,3,4,4,5,2,1,2,R3,doctor,text,1
E,4,6,5,5,3,2,2,R3,doctor,text,1
E,5,5,5,3,3,2,1,R3,doctor,text,1
E,6,6,5,5,3,2,2,R3,doctor,text,1
E,7,2,3,5,2,2,2,R3,doctor,text,1
E,8,6,5,5,2,2,2,R3,doctor,image,5
E,9,5,5,5,2,2,2,R3,doctor,image,5
E,10,5,4,5,2,2,2,R3,doctor,image,5
E,11,4,4,3,2,2,1,R3,doctor,image,5
M,1,5,6,6,3,3,3,GPT,AI,text,1
M,2,6,5,6,3,3,3,GPT,AI,text,1
M,3,5,6,5,3,3,3,GPT,AI,text,1
M,4,6,5,6,3,3,3,GPT,AI,text,1
M,5,6,5,6,3,3,3,GPT,AI,text,1
M,6,6,5,6,3,3,3,GPT,AI,text,1
M,7,6,5,6,3,3,3,GPT,AI,text,1
I,1,4,4,5,1,2,1,R4,doctor,text,1
I,2,5,5,5,2,2,2,R4,doctor,text,1
I,3,5,4,4,2,1,2,R4,doctor,text,1
I,4,5,5,5,2,2,2,R4,doctor,text,1
I,5,5,5,4,2,2,1,R4,doctor,text,1
I,6,6,5,5,2,2,2,R4,doctor,text,1
I,7,5,3,5,2,1,2,R4,doctor,text,1
I,1,5,4,4,2,2,1,R4,doctor,image,5
I,2,4,4,4,2,2,2,R4,doctor,image,5
I,3,5,3,5,2,2,2,R4,doctor,image,5
I,4,3,5,5,2,2,2,R4,doctor,image,5
B,1,5,3,3,2,2,1,GP,doctor,text,2
B,2,4,3,3,1,2,1,GP,doctor,text,2
B,3,3,2,2,1,1,1,GP,doctor,text,2
B,4,1,3,1,1,2,1,GP,doctor,text,2
B,5,1,2,2,1,1,1,GP,doctor,text,2
B,6,4,3,3,2,2,1,GP,doctor,text,2
B,7,1,2,3,1,1,2,GP,doctor,text,2
F,1,5,5,5,2,2,2,R3,doctor,text,2
F,2,5,4,3,2,2,1,R3,doctor,text,2
F,3,5,4,5,2,2,2,R3,doctor,text,2
F,4,4,4,4,2,2,2,R3,doctor,text,2
F,5,3,4,3,2,2,2,R3,doctor,text,2
F,6,4,4,4,2,2,1,R3,doctor,text,2
F,7,5,4,4,2,2,2,R3,doctor,text,2
F,8,4,4,3,3,2,2,R3,doctor,image,5
F,9,5,5,4,2,2,2,R3,doctor,image,5
F,10,5,4,4,2,2,2,R3,doctor,image,5
F,11,5,4,4,2,2,2,R3,doctor,image,5
J,1,5,4,4,2,2,1,R4,doctor,text,2
J,2,6,3,2,2,1,1,R4,doctor,text,2
J,3,4,5,5,2,2,2,R4,doctor,text,2
J,4,4,4,4,1,2,2,R4,doctor,text,2
J,5,4,4,4,1,2,2,R4,doctor,text,2
J,6,4,5,4,2,2,1,R4,doctor,text,2
J,7,5,4,5,2,2,2,R4,doctor,text,2
J,8,6,5,5,2,2,2,R4,doctor,image,5
J,9,4,4,5,2,2,2,R4,doctor,image,5
J,10,5,2,5,2,2,2,R4,doctor,image,5
J,11,5,5,5,2,2,2,R4,doctor,image,5
N,1,6,5,6,3,3,3,GPT,AI,text,2
N,2,6,6,6,3,3,3,GPT,AI,text,2
N,3,5,6,6,2,2,3,GPT,AI,text,2
N,4,5,6,5,3,3,3,GPT,AI,text,2
N,5,6,6,5,3,3,3,GPT,AI,text,2
N,6,6,6,5,3,2,3,GPT,AI,text,2
N,7,6,6,6,3,2,3,GPT,AI,text,2
C,1,2,4,3,1,2,2,GP,doctor,text,3
C,2,2,4,2,1,2,2,GP,doctor,text,3
C,3,4,3,3,2,2,2,GP,doctor,text,3
C,4,2,2,2,2,2,2,GP,doctor,text,3
C,5,3,2,1,1,2,2,GP,doctor,text,3
C,6,2,2,3,1,2,2,GP,doctor,text,3
C,7,3,4,3,2,2,2,GP,doctor,text,3
G,1,3,4,4,2,2,2,R3,doctor,text,3
G,2,3,5,4,2,2,2,R3,doctor,text,3
G,3,4,4,3,2,2,1,R3,doctor,text,3
G,4,4,4,4,2,2,2,R3,doctor,text,3
G,5,4,3,3,2,2,2,R3,doctor,text,3
G,6,5,3,3,2,2,2,R3,doctor,text,3
G,7,5,4,4,2,2,2,R3,doctor,text,3
G,8,4,4,3,2,2,2,R3,doctor,image,5
G,9,5,4,4,2,2,2,R3,doctor,image,5
G,10,5,4,5,2,2,2,R3,doctor,image,5
G,11,5,4,5,2,2,2,R3,doctor,image,5
K,1,4,3,4,2,2,2,R4,doctor,text,3
K,2,5,4,3,2,2,1,R4,doctor,text,3
K,3,4,3,3,2,2,1,R4,doctor,text,3
K,4,4,3,3,2,2,2,R4,doctor,text,3
K,5,3,2,4,1,2,2,R4,doctor,text,3
K,6,5,2,3,1,2,2,R4,doctor,text,3
K,7,4,3,3,2,1,2,R4,doctor,text,3
K,8,4,3,2,1,1,1,R4,doctor,image,5
K,9,5,4,3,2,1,2,R4,doctor,image,5
K,10,5,3,4,1,1,1,R4,doctor,image,5
K,11,4,3,4,2,1,2,R4,doctor,image,5
O,1,5,5,6,3,2,3,GPT,AI,text,3
O,2,6,4,5,3,3,2,GPT,AI,text,3
O,3,4,5,6,3,3,3,GPT,AI,text,3
O,4,5,5,5,2,3,3,GPT,AI,text,3
O,5,5,6,5,3,3,3,GPT,AI,text,3
O,6,6,5,6,3,3,3,GPT,AI,text,3
O,7,6,5,5,3,2,3,GPT,AI,text,3
D,1,3,3,3,2,2,2,GP,doctor,text,4
D,2,5,4,4,2,2,2,GP,doctor,text,4
D,3,4,3,4,2,2,2,GP,doctor,text,4
D,4,3,2,3,2,2,2,GP,doctor,text,4
D,5,3,3,3,2,2,2,GP,doctor,text,4
D,6,3,3,4,2,1,2,GP,doctor,text,4
D,7,4,3,4,2,2,2,GP,doctor,text,4
H,1,4,4,4,2,2,2,R3,doctor,text,4
H,2,4,3,4,2,2,2,R3,doctor,text,4
H,3,5,3,4,2,2,2,R3,doctor,text,4
H,4,3,3,4,1,2,2,R3,doctor,text,4
H,5,4,4,4,2,2,1,R3,doctor,text,4
H,6,4,4,4,2,2,1,R3,doctor,text,4
H,7,4,2,3,1,1,1,R3,doctor,text,4
H,8,4,3,2,2,1,2,R3,doctor,image,5
H,9,5,4,4,2,2,1,R3,doctor,image,5
H,10,5,3,3,2,1,1,R3,doctor,image,5
H,11,2,3,2,1,2,1,R3,doctor,image,5
L,1,4,5,5,2,2,2,R4,doctor,text,4
L,2,4,5,4,2,2,2,R4,doctor,text,4
L,3,5,3,3,2,2,2,R4,doctor,text,4
L,4,5,4,5,2,2,2,R4,doctor,text,4
L,5,4,3,4,2,2,1,R4,doctor,text,4
L,6,4,5,4,2,2,2,R4,doctor,text,4
L,7,5,4,4,2,2,2,R4,doctor,text,4
L,8,4,4,3,2,2,2,R4,doctor,image,5
L,9,5,4,4,2,2,2,R4,doctor,image,5
L,10,4,2,4,2,1,1,R4,doctor,image,5
L,11,2,4,3,1,2,2,R4,doctor,image,5
P,1,5,5,6,3,2,3,GPT,AI,text,4
P,2,5,5,5,2,2,3,GPT,AI,text,4
P,3,5,6,5,3,2,3,GPT,AI,text,4
P,4,5,6,6,3,2,3,GPT,AI,text,4
P,5,5,6,5,2,2,3,GPT,AI,text,4
P,6,6,5,5,3,2,3,GPT,AI,text,4
P,7,5,6,6,3,2,3,GPT,AI,text,4
Q,8,6,5,6,3,3,3,GPT,AI,image,5
Q,9,3,5,6,3,2,2,GPT,AI,image,5
Q,10,6,5,6,2,3,3,GPT,AI,image,5
Q,11,6,5,5,3,2,3,GPT,AI,image,5
